moisture,temp,humidity,rainfall,time_of_day,pump
29.0,29.3,58.5,1,22,0
23.9,30.8,57.8,1,22,0
30.2,29.6,45.6,0,1,0
37.2,32.4,60.8,0,19,0
23.1,36.8,40.1,0,14,0
23.1,28.9,48.5,0,9,0
37.6,36.0,35.0,0,3,0
31.1,28.9,70.6,1,22,0
21.2,28.6,52.7,0,7,1
29.3,35.3,76.7,0,10,0
21.3,35.7,63.0,0,16,1
21.3,35.4,59.5,0,6,1
26.9,26.7,49.1,0,10,0
9.7,30.1,44.5,0,21,1
11.2,35.3,60.2,0,9,1
20.5,32.2,54.3,0,0,1
16.9,27.7,41.6,0,7,1
27.5,33.8,39.8,0,4,0
17.7,29.1,45.4,0,12,1
13.7,39.2,73.2,0,6,1
36.7,38.2,77.1,0,23,0
23.2,34.4,57.0,1,22,0
25.5,37.4,56.5,0,10,0
13.6,32.3,51.6,1,11,0
20.6,35.1,45.7,0,13,1
25.9,37.9,68.8,0,11,0
15.8,33.0,73.7,0,0,1
28.0,31.0,46.1,1,5,0
20.2,25.2,54.2,1,10,0
22.7,31.7,50.5,1,10,0
20.2,35.3,50.8,0,11,1
39.8,35.8,66.9,1,0,0
24.9,34.0,41.9,1,19,0
16.5,29.8,59.7,0,19,1
31.6,24.1,62.3,0,23,0
15.2,30.0,53.6,0,5,1
26.7,30.8,63.9,0,22,0
9.3,30.7,56.5,0,12,1
14.4,34.5,67.2,1,11,0
26.6,39.9,39.8,1,9,0
30.9,32.5,51.5,1,22,0
26.4,31.1,54.3,0,6,0
24.1,31.0,28.3,0,9,0
22.6,32.5,44.1,0,17,0
13.2,28.7,46.9,0,5,1
19.2,32.5,64.5,0,23,1
21.3,33.8,47.9,0,7,1
33.5,32.8,46.8,0,19,0
27.7,33.8,63.2,0,22,0
10.9,33.7,38.8,0,8,1
27.6,24.9,34.3,1,15,0
21.9,34.5,51.4,0,23,1
19.6,29.3,40.5,0,1,1
29.9,27.6,40.9,1,10,0
33.2,27.6,60.7,0,23,0
32.5,33.7,63.8,0,18,0
18.3,31.1,62.9,0,3,1
22.5,25.3,66.1,0,2,0
27.7,33.9,67.4,0,14,0
32.8,26.2,33.7,1,7,0
21.2,32.6,59.5,0,3,1
23.5,33.0,49.7,0,10,0
16.1,35.5,47.5,0,16,1
15.4,39.1,60.6,0,8,1
31.5,26.5,37.7,0,0,0
35.8,31.8,37.5,0,7,0
24.4,30.9,61.3,0,1,0
33.0,33.7,59.9,0,22,0
27.9,32.9,56.4,0,12,0
19.8,30.6,46.2,0,0,1
27.9,30.2,62.4,0,21,0
37.3,27.5,61.8,0,9,0
24.7,36.0,55.9,0,11,0
37.5,33.8,43.2,0,10,0
5.0,35.7,50.7,1,9,0
31.6,30.8,63.4,0,13,0
25.7,29.4,68.3,1,13,0
22.6,27.7,51.7,0,7,0
25.7,33.4,52.5,1,10,0
9.1,27.8,53.4,0,21,1
23.2,39.4,57.7,0,8,0
27.9,26.8,49.2,1,14,0
36.8,33.1,26.1,0,0,0
20.9,38.3,66.9,1,18,0
18.5,34.4,72.9,0,17,1
21.0,32.7,48.9,0,11,1
32.3,28.1,44.3,0,7,0
27.6,26.5,53.6,0,4,0
20.8,35.1,53.1,0,12,1
29.1,38.0,65.0,1,16,0
25.8,30.2,55.5,1,0,0
32.7,27.4,47.1,0,1,0
19.4,22.2,41.8,0,6,1
22.4,28.1,63.7,0,1,0
21.9,31.5,61.0,0,21,1
13.3,38.4,65.6,0,3,1
27.4,34.7,45.3,0,12,0
27.1,33.2,73.4,0,13,0
25.0,30.4,37.6,1,19,0
23.1,29.7,62.1,0,2,0
13.7,37.6,35.9,0,8,1
21.6,32.8,47.1,0,17,1
22.3,23.6,70.6,0,15,0
18.6,29.3,63.3,0,18,1
23.7,28.6,49.5,0,19,0
28.2,29.8,49.8,0,8,0
40.1,34.3,56.0,1,18,0
26.4,31.6,60.1,0,5,0
27.1,31.7,67.5,1,11,0
24.4,37.3,50.4,0,14,0
9.6,29.2,38.9,0,20,1
24.8,39.5,56.6,1,5,0
25.5,29.3,50.4,0,4,0
44.7,32.4,42.0,0,13,0
23.5,30.9,58.0,0,18,0
27.4,32.5,52.9,1,17,0
24.7,33.8,58.1,0,12,0
15.7,33.7,46.1,0,8,1
34.1,29.0,59.9,0,19,0
31.0,27.5,41.8,0,21,0
31.3,42.0,46.7,1,20,0
17.7,30.1,52.6,1,6,0
36.2,34.8,72.4,0,20,0
13.8,25.6,62.8,0,11,1
29.7,30.9,65.8,1,8,0
42.5,31.5,69.2,0,1,0
17.1,33.9,90.0,1,2,0
20.5,21.1,55.4,0,4,1
25.8,32.7,69.2,0,17,0
21.0,27.4,65.1,1,13,0
12.6,33.3,65.0,0,21,1
25.5,27.9,72.7,0,18,0
16.5,28.6,50.8,0,20,1
28.8,30.9,50.0,0,4,0
17.6,27.8,58.2,1,9,0
37.4,30.1,53.2,0,15,0
18.7,27.2,58.2,0,23,1
22.4,24.7,70.6,1,19,0
31.5,36.1,50.2,1,0,0
15.2,26.8,52.0,1,20,0
26.8,31.3,56.7,0,3,0
